event_id,ra,dec,energy,arrival_time,instrument,t90_s
bn171020813,234.6,-70.16,1.9737e-06,58046.8129,Fermi-GBM,19.2
bn260104999,312.74,-26.12,1.848e-06,61044.9986,Fermi-GBM,35.0
bn080717543,147.3,-70.0,4.4599e-06,54664.5435,Fermi-GBM,36.608
bn100429999,89.09,-69.96,2.7847e-06,55315.9999,Fermi-GBM,25.024
bn230415474,61.71,-69.94,2.3746e-07,60049.4736,Fermi-GBM,0.416
bn230723194,22.909,-67.059,3.4556e-07,60148.1936,Fermi-GBM,0.768
bn250721401,82.805,-25.592,2.5082e-06,60877.4012,Fermi-GBM,53.952
bn180630335,133.07,-69.94,2.9586e-06,58299.3354,Fermi-GBM,48.896
bn120107384,246.4,-69.93,6.532e-06,55933.3835,Fermi-GBM,23.04
bn080905570,96.9,-69.8,4.0911e-06,54714.5705,Fermi-GBM,26.624
bn220730659,225.021,-69.497,9.3652e-07,59790.659,Fermi-GBM,0.16
bn251102886,110.62,-69.71,1.706e-06,60981.886,Fermi-GBM,8.256
bn131204937,309.67,-69.67,1.6482e-06,56630.9368,Fermi-GBM,29.952
bn180804931,109.36,-69.32,8.1538e-06,58334.931,Fermi-GBM,18.432
bn140322424,250.3,-69.45,2.0052e-06,56738.4243,Fermi-GBM,10.496
bn210520797,123.0,-69.4,2.8451e-06,59354.7966,Fermi-GBM,56.065
bn150902733,214.926,-69.361,8.3192e-05,57267.7331,Fermi-GBM,13.568
bn170625692,106.7,-69.35,1.9512e-06,57929.6915,Fermi-GBM,22.784
bn240519213,293.91,-69.35,8.1484e-06,60449.2132,Fermi-GBM,11.325
bn090725838,281.88,-69.49,2.3588e-06,55037.8377,Fermi-GBM,13.76
bn130218261,69.31,-69.13,9.4331e-06,56341.2614,Fermi-GBM,37.121
bn130420422,117.06,-69.03,3.7707e-06,56402.4223,Fermi-GBM,27.328
bn081226044,120.5,-69.0,4.303e-07,54826.0442,Fermi-GBM,0.832
bn221203537,355.06,-68.97,8.1981e-07,59916.5368,Fermi-GBM,3.52
bn240107803,292.46,-68.3,6.2274e-06,60316.8031,Fermi-GBM,60.161
bn171024977,210.53,-68.91,9.4493e-07,58050.9773,Fermi-GBM,35.072
bn250210230,150.29,-25.47,4.3891e-06,60716.2303,Fermi-GBM,24.576
bn180804765,139.67,-68.9,3.5109e-06,58334.7655,Fermi-GBM,21.504
bn090411838,156.0,-68.9,6.6659e-06,54932.8379,Fermi-GBM,21.501
bn240807238,300.967,-68.7861,6.7686e-07,60529.238,Fermi-GBM,7.68
bn250804960,1.37,-68.7,5.3965e-06,60891.9601,Fermi-GBM,15.872
bn181022846,216.26,-65.29,7.6459e-07,58413.8462,Fermi-GBM,13.824
bn221021388,218.71,-68.58,1.367e-05,59873.3878,Fermi-GBM,68.353
bn240222369,143.248,-68.029,4.8433e-07,60362.3691,Fermi-GBM,3.776
bn210126417,70.68,-67.94,3.9751e-06,59240.4167,Fermi-GBM,61.441
bn250828500,218.31,-68.26,1.5602e-06,60915.5,Fermi-GBM,54.784
bn231025283,190.96,-53.08,3.5159e-07,60242.2826,Fermi-GBM,5.888
bn250317004,148.24,-25.44,1.0841e-06,60751.0038,Fermi-GBM,17.664
bn221201517,266.923,-68.251,1.8118e-05,59914.5172,Fermi-GBM,28.929
bn090719063,341.27,-67.86,4.6848e-05,55031.0635,Fermi-GBM,11.392
bn260102883,60.66,-67.83,2.416e-07,61042.8834,Fermi-GBM,1.6
bn180906759,270.12,-67.67,3.6221e-06,58367.7586,Fermi-GBM,13.309
bn100605774,273.43,-67.6,7.5654e-07,55352.7744,Fermi-GBM,8.192
bn110316139,46.7,-67.58,1.1497e-07,55636.1387,Fermi-GBM,2.944
bn231123809,163.24,-67.55,2.2087e-06,60271.8093,Fermi-GBM,52.481
bn191220589,211.77,-67.51,1.8048e-05,58837.5892,Fermi-GBM,27.905
bn160716144,189.61,-68.04,2.8781e-06,57585.1436,Fermi-GBM,28.928
bn180703876,6.54,-67.1,1.6251e-05,58302.8762,Fermi-GBM,20.736
bn240422112,255.61,-67.43,8.4572e-07,60422.1118,Fermi-GBM,28.16
bn081006604,142.0,-67.4,8.3329e-07,54745.6039,Fermi-GBM,6.4
bn090524346,329.5,-67.4,1.6588e-05,54975.3458,Fermi-GBM,54.337
bn150404733,165.91,-67.37,6.1093e-07,57116.7327,Fermi-GBM,4.864
bn180723133,130.03,-67.15,5.2896e-07,58322.1325,Fermi-GBM,3.072
bn100719311,304.87,-67.14,3.8679e-07,55396.3113,Fermi-GBM,1.6
bn090819607,49.08,-67.12,2.7212e-07,55062.6073,Fermi-GBM,0.192
bn200908886,169.53,-66.97,1.2339e-06,59100.8859,Fermi-GBM,6.144
bn131118958,349.863,-66.833,6.754e-05,56614.9576,Fermi-GBM,85.249
bn170323775,348.83,-66.81,3.7589e-06,57835.7753,Fermi-GBM,35.328
bn181128751,182.82,-66.74,1.5219e-06,58450.7513,Fermi-GBM,17.664
bn251208393,32.83,-66.66,8.59e-07,61017.393,Fermi-GBM,2.176
bn181208188,104.11,-66.66,8.1001e-06,58460.188,Fermi-GBM,62.465
bn260129421,0.36,-67.05,6.0222e-07,61069.4215,Fermi-GBM,24.832
bn140109877,24.09,-25.05,1.492e-07,56666.8774,Fermi-GBM,3.328
bn180906597,104.81,-67.02,3.7165e-06,58367.5971,Fermi-GBM,52.03
bn111107035,129.478,-66.52,9.073e-07,55872.035,Fermi-GBM,12.032
bn190420981,319.29,-66.41,6.538e-07,58593.9808,Fermi-GBM,1.472
bn250823840,297.521,-24.976,9.7246e-07,60910.8404,Fermi-GBM,13.056
bn151003729,60.34,-66.37,1.3475e-06,57298.7292,Fermi-GBM,44.032
bn090926181,353.401,-66.3239,0.00014657,55100.1809,Fermi-GBM,13.76
bn220518717,293.32,-66.21,3.61e-07,59717.7166,Fermi-GBM,3.84
bn211216282,44.36,-64.35,9.3273e-06,59564.2819,Fermi-GBM,20.224
bn150628767,347.02,-66.18,2.6488e-07,57201.7666,Fermi-GBM,0.64
bn220124074,274.51,-66.17,2.7243e-06,59603.0743,Fermi-GBM,53.76
bn110911071,258.58,-66.98,5.9377e-07,55815.0706,Fermi-GBM,8.96
bn180723757,7.84,-66.11,4.3311e-05,58322.7568,Fermi-GBM,19.712
bn160303971,302.2,-65.68,1.3771e-06,57450.9712,Fermi-GBM,27.136
bn120919816,303.53,-66.16,1.1356e-06,56189.8165,Fermi-GBM,20.48
bn240613991,262.18,-66.14,9.7873e-07,60474.9907,Fermi-GBM,3.072
bn200130248,329.29,-65.93,5.9173e-06,58878.2481,Fermi-GBM,56.577
bn101011707,48.3,-65.9,2.7101e-06,55480.7074,Fermi-GBM,36.352
bn240112541,8.21,-65.87,3.0525e-06,60321.5413,Fermi-GBM,15.616
bn250619984,25.37,-24.75,1.4878e-06,60845.9835,Fermi-GBM,28.928
