event_id,energy,arrival_time,ra,dec,instrument,epoch
bn110212550,6.3493e-07,55604.5504,311.33,-74.5,Fermi-GBM,fermi_lat_grb_catalog
bn161012637,6.1394e-07,57673.637,160.43,-74.28,Fermi-GBM,fermi_lat_grb_catalog
bn141221897,7.4393e-06,57012.8971,126.02,-74.21,Fermi-GBM,fermi_lat_grb_catalog
bn150602840,4.7133e-06,57175.8398,289.87,-74.21,Fermi-GBM,fermi_lat_grb_catalog
bn190825171,2.1626e-07,58720.1715,210.86,-74.14,Fermi-GBM,fermi_lat_grb_catalog
bn080714425,1.8139e-06,54661.425,187.5,-74.0,Fermi-GBM,fermi_lat_grb_catalog
bn260208905,2.7688e-06,61079.9047,327.73,-38.97,Fermi-GBM,fermi_lat_grb_catalog
bn200809654,1.4822e-06,59070.6538,15.8295,-73.8456,Fermi-GBM,fermi_lat_grb_catalog
bn181103046,6.0455e-07,58425.0464,295.48,-73.76,Fermi-GBM,fermi_lat_grb_catalog
bn260109362,6.1855e-07,61049.3621,197.53,-73.94,Fermi-GBM,fermi_lat_grb_catalog
bn110517453,9.8898e-08,55698.4532,296.09,-73.76,Fermi-GBM,fermi_lat_grb_catalog
bn170304003,3.1497e-07,57816.0031,330.5,-73.76,Fermi-GBM,fermi_lat_grb_catalog
bn140712973,5.0997e-06,56850.9728,83.48,-73.62,Fermi-GBM,fermi_lat_grb_catalog
bn201227635,3.429e-06,59210.6348,170.121,-73.613,Fermi-GBM,fermi_lat_grb_catalog
bn090304216,8.9864e-07,54894.2158,195.9,-73.4,Fermi-GBM,fermi_lat_grb_catalog
bn151026523,4.3163e-06,57321.5227,107.39,-73.32,Fermi-GBM,fermi_lat_grb_catalog
bn130425327,4.1678e-05,56407.3273,17.78,-72.85,Fermi-GBM,fermi_lat_grb_catalog
bn160625230,3.3536e-06,57564.2305,314.53,-73.26,Fermi-GBM,fermi_lat_grb_catalog
bn100604287,5.5087e-06,55351.2872,248.3,-73.19,Fermi-GBM,fermi_lat_grb_catalog
bn140213807,2.1248e-05,56701.8066,105.218,-73.136,Fermi-GBM,fermi_lat_grb_catalog
bn090922605,4.5135e-06,55096.6046,38.36,-73.08,Fermi-GBM,fermi_lat_grb_catalog
bn190422284,1.3558e-05,58595.2835,306.66,-73.01,Fermi-GBM,fermi_lat_grb_catalog
bn090513941,1.0415e-06,54964.9414,99.1,-72.9,Fermi-GBM,fermi_lat_grb_catalog
bn160325291,1.8598e-05,57472.2912,15.6521,-72.6967,Fermi-GBM,fermi_lat_grb_catalog
bn231214850,1.9361e-05,60292.8503,305.686,-72.433,Fermi-GBM,fermi_lat_grb_catalog
bn100926595,6.9728e-06,55465.5952,222.75,-72.35,Fermi-GBM,fermi_lat_grb_catalog
bn191112369,8.2268e-06,58799.369,164.42,-72.27,Fermi-GBM,fermi_lat_grb_catalog
bn200616048,2.758e-06,59016.0481,116.16,-72.23,Fermi-GBM,fermi_lat_grb_catalog
bn090120627,7.6823e-07,54851.6267,38.1,-72.2,Fermi-GBM,fermi_lat_grb_catalog
bn240727250,2.852e-06,60518.2501,97.786,-37.18,Fermi-GBM,fermi_lat_grb_catalog
bn141022061,5.602e-07,56952.061,241.901,-72.129,Fermi-GBM,fermi_lat_grb_catalog
bn091102607,1.8772e-06,55137.6074,72.6161,-72.5197,Fermi-GBM,fermi_lat_grb_catalog
bn170113420,2.0371e-06,57766.4196,61.735,-71.933,Fermi-GBM,fermi_lat_grb_catalog
bn120827216,3.3669e-06,56166.2156,222.74,-71.89,Fermi-GBM,fermi_lat_grb_catalog
bn100517639,2.9107e-06,55333.6389,52.73,-71.87,Fermi-GBM,fermi_lat_grb_catalog
bn090802666,2.7698e-06,55045.6655,267.02,-71.77,Fermi-GBM,fermi_lat_grb_catalog
bn110618366,6.2375e-05,55730.3664,176.808,-71.688,Fermi-GBM,fermi_lat_grb_catalog
bn090516137,1.6153e-05,54967.137,122.2,-71.62,Fermi-GBM,fermi_lat_grb_catalog
bn090927422,3.0258e-07,55101.4217,343.95,-70.98,Fermi-GBM,fermi_lat_grb_catalog
bn190906767,2.2883e-06,58732.7675,171.84,-71.57,Fermi-GBM,fermi_lat_grb_catalog
bn210501205,4.7016e-07,59335.2049,357.84,-71.3,Fermi-GBM,fermi_lat_grb_catalog
bn130320560,5.7803e-05,56371.5601,195.539,-71.259,Fermi-GBM,fermi_lat_grb_catalog
bn250824568,5.5401e-08,60911.5682,248.34,-35.61,Fermi-GBM,fermi_lat_grb_catalog
bn201104001,1.3058e-05,59157.0007,81.4,-71.1,Fermi-GBM,fermi_lat_grb_catalog
bn120711115,0.00019428,56119.1145,94.69,-71.0,Fermi-GBM,fermi_lat_grb_catalog
bn250319214,3.1884e-07,60753.2135,246.18,-70.9,Fermi-GBM,fermi_lat_grb_catalog
bn180801492,1.3352e-06,58331.4922,3.38,-70.68,Fermi-GBM,fermi_lat_grb_catalog
bn171212434,5.0312e-06,58099.4335,39.44,-70.62,Fermi-GBM,fermi_lat_grb_catalog
bn230617926,1.4248e-07,60112.9261,139.45,-70.53,Fermi-GBM,fermi_lat_grb_catalog
bn140616165,2.8079e-07,56824.1646,104.94,-70.51,Fermi-GBM,fermi_lat_grb_catalog
bn200120962,8.6054e-06,58868.9618,137.134,-70.4363,Fermi-GBM,fermi_lat_grb_catalog
bn090606471,9.4591e-07,54988.4709,146.94,-70.49,Fermi-GBM,fermi_lat_grb_catalog
bn230709735,5.8382e-06,60134.735,267.56,-70.47,Fermi-GBM,fermi_lat_grb_catalog
bn130505955,9.873e-06,56417.955,344.47,-70.47,Fermi-GBM,fermi_lat_grb_catalog
bn191111547,8.6363e-06,58798.5467,239.41,-70.42,Fermi-GBM,fermi_lat_grb_catalog
bn130327350,5.1995e-05,56378.35,218.09,-69.51,Fermi-GBM,fermi_lat_grb_catalog
bn171020813,1.9737e-06,58046.8129,234.6,-70.16,Fermi-GBM,fermi_lat_grb_catalog
bn260104999,1.848e-06,61044.9986,312.74,-26.12,Fermi-GBM,fermi_lat_grb_catalog
bn080717543,4.4599e-06,54664.5435,147.3,-70.0,Fermi-GBM,fermi_lat_grb_catalog
