event_id,energy,arrival_time,ra,dec,instrument,epoch
GRB 051117A,4.36e-06,,228.39204,30.87019,Swift-BAT,swift_bat3_grb_catalog
GRB 051117B,1.75e-07,,85.18075,-19.274222,Swift-BAT,swift_bat3_grb_catalog
GRB 051210,8.6e-08,,330.17125,-57.613583,Swift-BAT,swift_bat3_grb_catalog
GRB 051211A,0.0,,104.05417,32.67889,Swift-BAT,swift_bat3_grb_catalog
GRB 051211B,0.0,,345.67321,55.08097,Swift-BAT,swift_bat3_grb_catalog
GRB 051213,7.97e-07,,252.093,-59.231,Swift-BAT,swift_bat3_grb_catalog
GRB 051221A,1.16e-06,,328.70267,16.890956,Swift-BAT,swift_bat3_grb_catalog
GRB 051221B,9.12e-07,,312.397292,53.036417,Swift-BAT,swift_bat3_grb_catalog
GRB 051227,7.15e-07,,125.24212,31.925525,Swift-BAT,swift_bat3_grb_catalog
GRB 060102,2.34e-07,,328.841,-1.836,Swift-BAT,swift_bat3_grb_catalog
GRB 060105,1.82e-05,,297.502833,46.348889,Swift-BAT,swift_bat3_grb_catalog
GRB 060108,3.72e-07,,147.00825,31.91906,Swift-BAT,swift_bat3_grb_catalog
GRB 060109,6.62e-07,,282.681875,31.990917,Swift-BAT,swift_bat3_grb_catalog
GRB 060110,1.51e-06,,72.74104,28.43214,Swift-BAT,swift_bat3_grb_catalog
GRB 060111A,1.2e-06,,276.204717,37.604019,Swift-BAT,swift_bat3_grb_catalog
GRB 060111B,1.62e-06,,286.42696,70.37586,Swift-BAT,swift_bat3_grb_catalog
GRB 060114,0.0,,195.2766,-4.748,Swift-BAT,swift_bat3_grb_catalog
GRB 060115,1.71e-06,,54.035,17.34528,Swift-BAT,swift_bat3_grb_catalog
GRB 060116,2.39e-06,,84.69283,-5.436983,Swift-BAT,swift_bat3_grb_catalog
GRB 060117,2.05e-05,,327.90054,-59.977528,Swift-BAT,swift_bat3_grb_catalog
GRB 060121,0.0,,137.46638,45.66261,Swift-BAT,swift_bat3_grb_catalog
GRB 060123,0.0,,179.699792,45.513778,Swift-BAT,swift_bat3_grb_catalog
GRB 060124,1.42e-05,,77.10625,69.74056,Swift-BAT,swift_bat3_grb_catalog
GRB 060130,0.0,,229.224,-36.912,Swift-BAT,swift_bat3_grb_catalog
GRB 060202,2.23e-06,,35.84575,38.384306,Swift-BAT,swift_bat3_grb_catalog
GRB 060203,9.12e-07,,103.51604,71.81067,Swift-BAT,swift_bat3_grb_catalog
GRB 060204A,0.0,,232.2335,-39.4438,Swift-BAT,swift_bat3_grb_catalog
GRB 060204B,2.93e-06,,211.81208,27.67678,Swift-BAT,swift_bat3_grb_catalog
GRB 060206,8.43e-07,,202.9309,35.051,Swift-BAT,swift_bat3_grb_catalog
GRB 060210,7.63e-06,,57.73904,27.02622,Swift-BAT,swift_bat3_grb_catalog
GRB 060211A,1.58e-06,,58.386042,21.488611,Swift-BAT,swift_bat3_grb_catalog
GRB 060211B,4.42e-07,,75.0715,14.949389,Swift-BAT,swift_bat3_grb_catalog
GRB 060213,0.0,,141.6,-9.15,Swift-BAT,swift_bat3_grb_catalog
GRB 060218,6.45e-06,,50.415346,16.867172,Swift-BAT,swift_bat3_grb_catalog
GRB 060219,4.4e-07,,241.839667,32.316111,Swift-BAT,swift_bat3_grb_catalog
GRB 060223A,6.74e-07,,55.2065,-17.1301,Swift-BAT,swift_bat3_grb_catalog
GRB 060223B,1.6e-06,,254.242,-30.813,Swift-BAT,swift_bat3_grb_catalog
GRB 060306,2.15e-06,,41.095333,-2.148528,Swift-BAT,swift_bat3_grb_catalog
GRB 060312,1.84e-06,,45.774875,12.83375,Swift-BAT,swift_bat3_grb_catalog
GRB 060313,1.14e-06,,66.61833,-10.84447,Swift-BAT,swift_bat3_grb_catalog
GRB 060319,2.38e-07,,176.387667,60.010806,Swift-BAT,swift_bat3_grb_catalog
GRB 060322,5.22e-06,,274.235958,-36.708694,Swift-BAT,swift_bat3_grb_catalog
GRB 060323,6.34e-07,,174.43854,49.98536,Swift-BAT,swift_bat3_grb_catalog
GRB 060403,1.36e-06,,282.339958,8.329806,Swift-BAT,swift_bat3_grb_catalog
GRB 060413,3.56e-06,,291.282708,13.758361,Swift-BAT,swift_bat3_grb_catalog
GRB 060418,8.38e-06,,236.4275,-3.6389,Swift-BAT,swift_bat3_grb_catalog
GRB 060421,1.26e-06,,343.637625,62.731,Swift-BAT,swift_bat3_grb_catalog
GRB 060424,6.8e-07,,7.3575,36.79964,Swift-BAT,swift_bat3_grb_catalog
GRB 060427,5.03e-07,,124.267208,62.671361,Swift-BAT,swift_bat3_grb_catalog
GRB 060428A,1.4e-06,,123.545,-37.16983,Swift-BAT,swift_bat3_grb_catalog
GRB 060428B,8.44e-07,,235.35679,62.02508,Swift-BAT,swift_bat3_grb_catalog
GRB 060429,0.0,,115.5126,-24.9525,Swift-BAT,swift_bat3_grb_catalog
GRB 060501,1.25e-06,,328.377833,43.998611,Swift-BAT,swift_bat3_grb_catalog
GRB 060502A,2.33e-06,,240.927,66.60069,Swift-BAT,swift_bat3_grb_catalog
GRB 060502B,4.92e-08,,278.938458,52.631528,Swift-BAT,swift_bat3_grb_catalog
GRB 060505,0.0,,331.763833,-27.814722,Swift-BAT,swift_bat3_grb_catalog
GRB 060507,4.52e-06,,89.9605,75.24886,Swift-BAT,swift_bat3_grb_catalog
GRB 060510A,8.15e-06,,95.86658,-1.16283,Swift-BAT,swift_bat3_grb_catalog
GRB 060510B,3.98e-06,,239.123396,78.570283,Swift-BAT,swift_bat3_grb_catalog
GRB 060512,2.5e-07,,195.7742,41.1909,Swift-BAT,swift_bat3_grb_catalog
GRB 060515,1.44e-06,,127.288917,73.567778,Swift-BAT,swift_bat3_grb_catalog
GRB 060516,1.03e-06,,71.171,-18.127,Swift-BAT,swift_bat3_grb_catalog
GRB 060522,1.13e-06,,322.93667,2.886208,Swift-BAT,swift_bat3_grb_catalog
GRB 060526,1.24e-06,,232.8265,0.2847,Swift-BAT,swift_bat3_grb_catalog
GRB 060602,1.61e-06,,149.567833,0.304,Swift-BAT,swift_bat3_grb_catalog
GRB 060604,3.76e-07,,337.2292,-10.9155,Swift-BAT,swift_bat3_grb_catalog
GRB 060605,1.16e-06,,322.1555,-6.0587,Swift-BAT,swift_bat3_grb_catalog
GRB 060607A,2.56e-06,,329.71,-22.4965,Swift-BAT,swift_bat3_grb_catalog
GRB 060607B,1.62e-06,,42.041,14.75,Swift-BAT,swift_bat3_grb_catalog
GRB 060614,2.07e-05,,320.88367,-53.02672,Swift-BAT,swift_bat3_grb_catalog
GRB 060707,1.58e-06,,357.07917,-17.90472,Swift-BAT,swift_bat3_grb_catalog
GRB 060708,4.99e-07,,7.80758,-33.759,Swift-BAT,swift_bat3_grb_catalog
GRB 060712,1.42e-06,,184.06775,35.538278,Swift-BAT,swift_bat3_grb_catalog
GRB 060714,2.88e-06,,227.8601,-6.5662,Swift-BAT,swift_bat3_grb_catalog
GRB 060717,6.99e-08,,170.840333,28.951083,Swift-BAT,swift_bat3_grb_catalog
GRB 060719,1.52e-06,,18.432,-48.38092,Swift-BAT,swift_bat3_grb_catalog
GRB 060728,2.23e-07,,16.639,-41.388,Swift-BAT,swift_bat3_grb_catalog
GRB 060729,2.61e-06,,95.38271,-62.37019,Swift-BAT,swift_bat3_grb_catalog
GRB 060801,8.05e-08,,213.005542,16.981833,Swift-BAT,swift_bat3_grb_catalog
GRB 060804,5.32e-07,,112.20567,-27.21575,Swift-BAT,swift_bat3_grb_catalog
GRB 060805A,7.31e-08,,220.931125,12.586444,Swift-BAT,swift_bat3_grb_catalog
GRB 060805B,0.0,,272.522583,58.15525,Swift-BAT,swift_bat3_grb_catalog
GRB 060807,8.61e-07,,252.51083,31.59186,Swift-BAT,swift_bat3_grb_catalog
GRB 060813,5.53e-06,,111.897333,-29.847056,Swift-BAT,swift_bat3_grb_catalog
GRB 060814,1.48e-05,,221.33875,20.586164,Swift-BAT,swift_bat3_grb_catalog
GRB 060825,9.55e-07,,18.122708,55.797472,Swift-BAT,swift_bat3_grb_catalog
GRB 060901,0.0,,287.157625,-6.63525,Swift-BAT,swift_bat3_grb_catalog
GRB 060904A,7.83e-06,,237.727792,44.985639,Swift-BAT,swift_bat3_grb_catalog
GRB 060904B,1.65e-06,,58.21058,-0.72531,Swift-BAT,swift_bat3_grb_catalog
GRB 060906,2.24e-06,,40.7535,30.36164,Swift-BAT,swift_bat3_grb_catalog
GRB 060908,2.81e-06,,31.8265,0.342,Swift-BAT,swift_bat3_grb_catalog
GRB 060912A,1.36e-06,,5.284,20.9716,Swift-BAT,swift_bat3_grb_catalog
GRB 060912B,0.0,,271.2167,-19.8804,Swift-BAT,swift_bat3_grb_catalog
GRB 060919,5.44e-07,,276.924167,-51.014472,Swift-BAT,swift_bat3_grb_catalog
GRB 060923A,8.82e-07,,254.61729,12.36081,Swift-BAT,swift_bat3_grb_catalog
GRB 060923B,4.9e-07,,238.194583,-30.903806,Swift-BAT,swift_bat3_grb_catalog
GRB 060923C,1.57e-06,,346.11833,3.92475,Swift-BAT,swift_bat3_grb_catalog
GRB 060926,2.32e-07,,263.931917,13.0385,Swift-BAT,swift_bat3_grb_catalog
GRB 060927,1.12e-06,,329.549708,5.363978,Swift-BAT,swift_bat3_grb_catalog
GRB 060928,0.0,,127.62625,-42.749389,Swift-BAT,swift_bat3_grb_catalog
GRB 060929,2.86e-07,,263.120708,29.835111,Swift-BAT,swift_bat3_grb_catalog
GRB 061002,8.58e-07,,220.348,48.741361,Swift-BAT,swift_bat3_grb_catalog
GRB 061004,5.69e-07,,97.795042,-45.906722,Swift-BAT,swift_bat3_grb_catalog
GRB 061006,1.43e-06,,111.0315,-79.19875,Swift-BAT,swift_bat3_grb_catalog
GRB 061007,4.5e-05,,46.33167,-50.50067,Swift-BAT,swift_bat3_grb_catalog
GRB 061019,2.44e-06,,91.628542,29.570361,Swift-BAT,swift_bat3_grb_catalog
GRB 061021,3.01e-06,,145.1505,-21.9515,Swift-BAT,swift_bat3_grb_catalog
GRB 061025,0.0,,300.904583,-48.243611,Swift-BAT,swift_bat3_grb_catalog
GRB 061027,2.89e-07,,270.876,-82.24,Swift-BAT,swift_bat3_grb_catalog
GRB 061028,9.49e-07,,97.2275,46.298861,Swift-BAT,swift_bat3_grb_catalog
GRB 061102,2.76e-07,,148.407458,-17.024833,Swift-BAT,swift_bat3_grb_catalog
GRB 061110A,1.13e-06,,336.290833,-2.258528,Swift-BAT,swift_bat3_grb_catalog
GRB 061110B,1.35e-06,,323.918333,6.876139,Swift-BAT,swift_bat3_grb_catalog
GRB 061121,1.39e-05,,147.227292,-13.195111,Swift-BAT,swift_bat3_grb_catalog
GRB 061122,0.0,,303.832667,15.517361,Swift-BAT,swift_bat3_grb_catalog
GRB 061126,6.61e-06,,86.601783,64.210772,Swift-BAT,swift_bat3_grb_catalog
GRB 061201,3.41e-07,,332.1337,-74.579744,Swift-BAT,swift_bat3_grb_catalog
GRB 061202,3.45e-06,,105.52525,-74.698528,Swift-BAT,swift_bat3_grb_catalog
GRB 061210,1.09e-06,,144.521458,15.621028,Swift-BAT,swift_bat3_grb_catalog
GRB 061217,4.29e-08,,160.406042,-21.125083,Swift-BAT,swift_bat3_grb_catalog
GRB 061218,4.3e-08,,149.247,-35.222,Swift-BAT,swift_bat3_grb_catalog
GRB 061222A,8.12e-06,,358.264246,46.532944,Swift-BAT,swift_bat3_grb_catalog
GRB 061222B,2.27e-06,,105.3525,-25.86,Swift-BAT,swift_bat3_grb_catalog
GRB 070103,3.29e-07,,352.5575,26.876222,Swift-BAT,swift_bat3_grb_catalog
GRB 070107,5.23e-06,,159.401458,-53.213194,Swift-BAT,swift_bat3_grb_catalog
GRB 070110,1.63e-06,,0.913625,-52.974139,Swift-BAT,swift_bat3_grb_catalog
GRB 070124,0.0,,221.385,54.579,Swift-BAT,swift_bat3_grb_catalog
GRB 070125,0.0,,117.824029,31.151142,Swift-BAT,swift_bat3_grb_catalog
GRB 070126,1.31e-07,,33.494,-73.548,Swift-BAT,swift_bat3_grb_catalog
GRB 070129,3.01e-06,,37.003917,11.684444,Swift-BAT,swift_bat3_grb_catalog
GRB 070208,5.18e-07,,197.885863,61.965103,Swift-BAT,swift_bat3_grb_catalog
GRB 070209,2.16e-08,,46.236,-47.388,Swift-BAT,swift_bat3_grb_catalog
GRB 070219,3.22e-07,,260.191875,69.370194,Swift-BAT,swift_bat3_grb_catalog
GRB 070220,1.05e-05,,34.778958,68.804667,Swift-BAT,swift_bat3_grb_catalog
GRB 070223,1.88e-06,,153.451625,43.133528,Swift-BAT,swift_bat3_grb_catalog
GRB 070224,3.7e-07,,179.027708,-13.330222,Swift-BAT,swift_bat3_grb_catalog
GRB 070227,0.0,,120.580708,-46.314,Swift-BAT,swift_bat3_grb_catalog
GRB 070306,5.46e-06,,148.097042,10.482083,Swift-BAT,swift_bat3_grb_catalog
GRB 070309,0.0,,263.665833,-37.930694,Swift-BAT,swift_bat3_grb_catalog
GRB 070311,0.0,,87.534208,3.375083,Swift-BAT,swift_bat3_grb_catalog
GRB 070318,2.62e-06,,48.4868,-42.9462,Swift-BAT,swift_bat3_grb_catalog
GRB 070326,0.0,,40.336667,-66.989167,Swift-BAT,swift_bat3_grb_catalog
GRB 070328,9.15e-06,,65.115333,-34.066861,Swift-BAT,swift_bat3_grb_catalog
GRB 070330,1.67e-07,,269.5416,-63.793,Swift-BAT,swift_bat3_grb_catalog
GRB 070406,3.81e-08,,198.969,16.481,Swift-BAT,swift_bat3_grb_catalog
GRB 070411,2.56e-06,,107.333125,1.064667,Swift-BAT,swift_bat3_grb_catalog
GRB 070412,4.83e-07,,181.541875,40.143194,Swift-BAT,swift_bat3_grb_catalog
GRB 070419A,6.67e-07,,182.745,39.926031,Swift-BAT,swift_bat3_grb_catalog
GRB 070419B,7.46e-06,,315.707583,-31.263694,Swift-BAT,swift_bat3_grb_catalog
GRB 070420,1.42e-05,,121.229875,-45.555556,Swift-BAT,swift_bat3_grb_catalog
GRB 070427,6.9e-07,,28.878,-27.605,Swift-BAT,swift_bat3_grb_catalog
GRB 070429A,9.37e-07,,297.703833,-32.404944,Swift-BAT,swift_bat3_grb_catalog
GRB 070429B,6.52e-08,,328.015875,-38.828333,Swift-BAT,swift_bat3_grb_catalog
GRB 070506,2.06e-07,,347.2183,10.7224,Swift-BAT,swift_bat3_grb_catalog
GRB 070508,2.01e-05,,312.800292,-78.385278,Swift-BAT,swift_bat3_grb_catalog
GRB 070509,1.87e-07,,237.95925,-78.651833,Swift-BAT,swift_bat3_grb_catalog
GRB 070517,2.19e-07,,277.620625,-62.2975,Swift-BAT,swift_bat3_grb_catalog
GRB 070518,1.67e-07,,254.1986,55.2951,Swift-BAT,swift_bat3_grb_catalog
GRB 070520A,4.98e-07,,193.359333,74.990361,Swift-BAT,swift_bat3_grb_catalog
GRB 070520B,1.07e-06,,121.880292,57.608139,Swift-BAT,swift_bat3_grb_catalog
GRB 070521,8.11e-06,,242.660917,30.256222,Swift-BAT,swift_bat3_grb_catalog
GRB 070529,2.47e-06,,283.7427,20.6594,Swift-BAT,swift_bat3_grb_catalog
GRB 070531,1.09e-06,,6.742417,74.313028,Swift-BAT,swift_bat3_grb_catalog
GRB 070611,4.03e-07,,1.991708,-29.755556,Swift-BAT,swift_bat3_grb_catalog
GRB 070612A,1.08e-05,,121.373375,37.270889,Swift-BAT,swift_bat3_grb_catalog
GRB 070612B,1.82e-06,,261.726958,-8.751389,Swift-BAT,swift_bat3_grb_catalog
GRB 070615,0.0,,44.313833,-4.407167,Swift-BAT,swift_bat3_grb_catalog
GRB 070616,1.97e-05,,32.1505,56.944361,Swift-BAT,swift_bat3_grb_catalog
GRB 070621,4.4e-06,,323.792,-24.817528,Swift-BAT,swift_bat3_grb_catalog
GRB 070628,3.56e-06,,115.27537,-20.27928,Swift-BAT,swift_bat3_grb_catalog
GRB 070704,5.85e-06,,354.697667,66.253167,Swift-BAT,swift_bat3_grb_catalog
GRB 070707,0.0,,267.743958,-68.924222,Swift-BAT,swift_bat3_grb_catalog
GRB 070714A,1.55e-07,,42.930458,30.243056,Swift-BAT,swift_bat3_grb_catalog
GRB 070714B,7.25e-07,,57.842625,28.297444,Swift-BAT,swift_bat3_grb_catalog
GRB 070721A,5.52e-08,,3.16343,-28.5502,Swift-BAT,swift_bat3_grb_catalog
GRB 070721B,3.56e-06,,33.137375,-2.194556,Swift-BAT,swift_bat3_grb_catalog
GRB 070724A,3.09e-08,,27.808542,-18.594417,Swift-BAT,swift_bat3_grb_catalog
GRB 070724B,0.0,,17.486125,57.676528,Swift-BAT,swift_bat3_grb_catalog
GRB 070729,1.03e-07,,56.31675,-39.322389,Swift-BAT,swift_bat3_grb_catalog
GRB 070731,1.67e-07,,328.584,-15.743,Swift-BAT,swift_bat3_grb_catalog
GRB 070802,2.79e-07,,36.8995,-55.527583,Swift-BAT,swift_bat3_grb_catalog
GRB 070805,7.08e-07,,245.042,-59.959,Swift-BAT,swift_bat3_grb_catalog
GRB 070808,1.29e-06,,6.764,1.176222,Swift-BAT,swift_bat3_grb_catalog
GRB 070809,1.02e-07,,203.768958,-22.141889,Swift-BAT,swift_bat3_grb_catalog
GRB 070810A,6.72e-07,,189.9634,10.7512,Swift-BAT,swift_bat3_grb_catalog
GRB 070810B,1.64e-08,,8.955,8.819,Swift-BAT,swift_bat3_grb_catalog
GRB 070911,1.27e-05,,25.81,-33.484028,Swift-BAT,swift_bat3_grb_catalog
GRB 070913,1.49e-07,,228.755417,-24.293056,Swift-BAT,swift_bat3_grb_catalog
GRB 070917,2.11e-06,,293.918875,2.411222,Swift-BAT,swift_bat3_grb_catalog
