condition,detector_overlap,bin_index,screen_position,probability,hit_count
two_slit_coherent,1.0,33,-26.73366834,1.4966430252354632,198
two_slit_coherent,1.0,34,-26.33165829,1.5376998083605784,194
two_slit_coherent,1.0,35,-25.92964824,1.5714177367392606,198
two_slit_coherent,1.0,36,-25.52763819,1.5973915681667132,221
two_slit_coherent,1.0,37,-25.12562814,1.6152944197597408,207
two_slit_coherent,1.0,38,-24.72361809,1.6248824506643018,221
two_slit_coherent,1.0,39,-24.32160804,1.6259986618130102,193
two_slit_coherent,1.0,40,-23.91959799,1.6185757579157505,197
two_slit_coherent,1.0,41,-23.51758794,1.6026380272510496,229
two_slit_coherent,1.0,42,-23.11557789,1.578302205856327,178
two_slit_coherent,1.0,43,-22.71356784,1.5457773042647003,197
two_slit_coherent,1.0,44,-22.31155779,1.505363386870282,152
two_slit_coherent,1.0,45,-21.90954774,1.4574493061822384,173
two_slit_coherent,1.0,46,-21.50753769,1.4025094065055443,161
two_slit_coherent,1.0,47,-21.10552764,1.3410992238159367,135
two_slit_coherent,1.0,48,-20.70351759,1.2738502206297206,164
two_slit_coherent,1.0,49,-20.30150754,1.2014636063588666,129
two_slit_coherent,1.0,50,-19.89949749,1.1247033048439012,146
two_slit_coherent,1.0,51,-19.49748744,1.0443881413318281,119
two_slit_coherent,1.0,52,-19.09547739,0.9613833309808884,120
two_slit_coherent,1.0,53,-18.69346734,0.8765913599031688,94
two_slit_coherent,1.0,54,-18.29145729,0.7909423576850505,89
two_slit_coherent,1.0,55,-17.88944724,0.7053840671502478,88
two_slit_coherent,1.0,56,-17.48743719,0.6208715227595751,87
two_slit_coherent,1.0,57,-17.08542714,0.5383565533983009,53
two_slit_coherent,1.0,58,-16.68341709,0.4587772283235967,66
two_slit_coherent,1.0,59,-16.28140704,0.38304736668450956,56
two_slit_coherent,1.0,60,-15.87939698,0.31204622955476735,41
two_slit_coherent,1.0,61,-15.47738693,0.24660852427252355,29
two_slit_coherent,1.0,62,-15.07537688,0.18751481168559359,23
two_slit_coherent,1.0,63,-14.67336683,0.13548246452492785,21
two_slit_coherent,1.0,64,-14.27135678,0.09115725746666448,19
two_slit_coherent,1.0,65,-13.86934673,0.05510570049550445,5
two_slit_coherent,1.0,66,-13.46733668,0.027808206572236593,1
two_slit_coherent,1.0,67,-13.06532663,0.00965317737279836,1
two_slit_coherent,1.0,68,-12.66331658,0.0009320807568037326,0
two_slit_coherent,1.0,69,-12.26130653,0.0018355825832784278,0
two_slit_coherent,1.0,70,-11.85929648,0.012450783646996255,1
two_slit_coherent,1.0,71,-11.45728643,0.0327595999974416,3
two_slit_coherent,1.0,72,-11.05527638,0.06263831186989355,5
two_slit_coherent,1.0,73,-10.65326633,0.1018582930573999,12
two_slit_coherent,1.0,74,-10.25125628,0.1500879189416875,23
two_slit_coherent,1.0,75,-9.84924623,0.2068956377418011,33
two_slit_coherent,1.0,76,-9.44723618,0.2717541759943154,39
two_slit_coherent,1.0,77,-9.04522613,0.344045836010503,42
two_slit_coherent,1.0,78,-8.64321608,0.4230688302233938,55
two_slit_coherent,1.0,79,-8.24120603,0.5080445850961572,65
two_slit_coherent,1.0,80,-7.83919598,0.5981259357610693,90
two_slit_coherent,1.0,81,-7.43718593,0.6924061219355588,86
two_slit_coherent,1.0,82,-7.03517588,0.7899284860483364,90
two_slit_coherent,1.0,83,-6.63316583,0.8896967660226336,102
two_slit_coherent,1.0,84,-6.23115578,0.9906858679100448,106
two_slit_coherent,1.0,85,-5.82914573,1.0918529976378144,123
two_slit_coherent,1.0,86,-5.42713568,1.1921490265993557,140
two_slit_coherent,1.0,87,-5.02512563,1.290529962740401,160
two_slit_coherent,1.0,88,-4.62311558,1.3859683972120753,186
two_slit_coherent,1.0,89,-4.22110553,1.4774647966001846,184
two_slit_coherent,1.0,90,-3.81909548,1.5640585122013435,181
two_slit_coherent,1.0,91,-3.41708543,1.6448383807875464,200
two_slit_coherent,1.0,92,-3.01507538,1.7189527957490318,204
two_slit_coherent,1.0,93,-2.61306533,1.7856191333808935,213
two_slit_coherent,1.0,94,-2.21105528,1.8441324263144894,222
two_slit_coherent,1.0,95,-1.80904523,1.893873184606398,217
two_slit_coherent,1.0,96,-1.40703518,1.9343142746862365,252
two_slit_coherent,1.0,97,-1.00502513,1.9650267771163452,239
two_slit_coherent,1.0,98,-0.60301508,1.9856847558046513,235
two_slit_coherent,1.0,99,-0.20100503,1.9960688837989031,246
two_slit_coherent,1.0,100,0.20100503,1.9960688837989031,240
two_slit_coherent,1.0,101,0.60301508,1.9856847558046513,217
two_slit_coherent,1.0,102,1.00502513,1.9650267771163452,245
two_slit_coherent,1.0,103,1.40703518,1.9343142746862365,252
two_slit_coherent,1.0,104,1.80904523,1.893873184606398,238
two_slit_coherent,1.0,105,2.21105528,1.8441324263144894,236
two_slit_coherent,1.0,106,2.61306533,1.7856191333808935,222
two_slit_coherent,1.0,107,3.01507538,1.7189527957490318,206
two_slit_coherent,1.0,108,3.41708543,1.6448383807875464,200
two_slit_coherent,1.0,109,3.81909548,1.5640585122013435,207
two_slit_coherent,1.0,110,4.22110553,1.4774647966001846,189
two_slit_coherent,1.0,111,4.62311558,1.3859683972120753,159
two_slit_coherent,1.0,112,5.02512563,1.290529962740401,152
